RelVlaznost;TempZraka;Padavine24;BrzinaVjetraKMh
59,53235;12,64349;0,06327;7,56217
60,52879;12,21704;0,00847;9,58515
53,76294;13,74343;0,00691;8,14117
54,17346;11,90902;5,65749;10,15508
45,37807;6,24117;20,83913;6,67976
66,01196;8,52148;4,81831;9,03570
64,67768;6,96618;12,88278;9,72426
53,01053;9,90045;0,42372;7,45918
75,21651;7,38766;4,60712;11,35753
57,19289;5,52480;77,36848;11,07593
69,91757;3,38488;26,67252;6,75892
64,72687;3,59448;4,01884;7,32549
68,01678;3,35171;5,47032;5,81226
54,42020;3,12814;12,66326;9,04981
66,03399;2,79168;0,83186;7,98050
63,90301;5,27346;30,58566;11,31141
72,02937;6,03207;15,64607;12,58854
72,64207;3,43261;22,87911;8,47738
40,49468;8,50772;20,71660;11,98755
65,23708;4,78921;13,95187;9,45859
69,35150;1,60433;18,11752;10,91737
73,19719;1,63110;2,21197;8,00481
53,89455;3,22527;3,55392;6,85061
66,01487;9,57766;12,96892;14,21274
71,18907;7,17449;9,87611;14,27320
62,84968;8,82702;8,36656;13,84296
79,68431;4,53112;14,62120;14,44601
83,71530;-2,55891;4,50201;12,38542
73,22714;-1,06125;1,39091;8,55071
77,29689;-1,79478;11,95572;7,93070
63,35477;0,06515;1,46962;11,57070
75,51803;-5,49897;0,00235;8,67286
66,77489;-3,80527;0,38510;6,87111
65,22745;-4,95649;0,37925;10,64080
73,78857;-2,47693;10,42221;8,08794
77,79201;-1,79511;12,89645;10,09289
66,72067;1,23406;9,28442;8,78816
74,61855;3,34701;2,13573;9,21897
58,75288;4,17120;4,82756;8,51065
58,27424;7,68362;31,56922;11,79730
70,51350;5,21447;17,41611;13,86516
67,12502;4,60235;19,73774;13,71844
86,90411;-0,97822;6,36737;9,87856
56,98410;-4,29676;3,18380;11,55596
81,49332;-3,71168;1,82243;8,74962
65,97707;0,02114;0,93010;6,02570
64,72197;-0,15446;0,48614;4,91348
64,59177;0,63146;0,04398;3,83163
62,55842;1,11273;0,01210;3,88947
63,51657;2,56347;0,03245;4,17397
74,27163;1,09176;0,07617;6,39956
76,65435;-3,36204;0,00356;9,00857
68,98521;-2,03126;1,55664;6,56588
69,71476;-0,34592;2,24176;5,06933
63,08558;0,55963;0,79003;8,98356
72,16994;6,68005;1,18006;12,01435
61,53030;7,12933;4,74824;10,84265
67,15967;6,86041;0,31475;9,98189
60,38808;4,11764;1,47550;6,61967
65,84079;3,03243;6,07343;7,87126
80,90534;0,81854;0,47099;6,36445
67,85104;3,96584;0,85190;6,47013
68,49512;7,23629;0,62166;5,52723
73,09284;3,30825;0,83046;7,59791
71,35848;4,97024;0,17850;6,88543
61,11594;7,82458;0,04108;5,98924
68,64504;4,94683;0,01775;4,23568
65,41359;3,74066;0,38462;4,53766
77,83575;-3,37470;1,98015;8,81745
71,91919;-2,43043;9,97787;11,86993
60,69954;-4,77610;7,06647;14,52855
66,88195;-1,77869;1,95006;9,70319
66,91331;-3,43415;0,28034;7,58825
55,82279;-1,57053;3,48639;6,69481
64,77888;-0,24943;0,56047;8,86359
47,50213;1,17483;0,15936;6,70473
66,59136;1,56631;0,00796;12,41443
68,71431;0,16097;0,04918;10,09842
72,16139;1,42367;0,01766;6,52409
70,28329;1,64590;0,00053;7,55004
57,01044;2,02685;0,00198;7,04096
55,82651;2,89745;0,00608;7,25566
67,26009;1,41262;0,03740;9,05740
61,85943;4,42779;0,01790;7,93858
41,37128;10,04226;0,09071;6,91969
48,67815;10,01885;0,06060;4,82133
38,91026;10,82018;0,29192;6,34504
40,04458;10,51147;0,17801;6,74161
46,95922;6,87530;0,18171;6,75461
38,97699;6,98965;0,02255;6,20729
41,41318;7,46368;0,23618;9,20244
59,11677;5,01995;0,64497;7,90787
65,07011;0,38632;0,29089;5,26176
66,35603;3,92660;0,18744;4,47376
74,49110;3,83267;0,10603;5,70805
55,27581;6,76855;6,17212;10,88371
67,29662;5,55666;4,05212;8,66254
59,48629;4,88760;5,97399;9,02030
57,75044;6,41998;0,26241;10,33848
55,27519;3,58209;0,27537;6,78109
66,93673;1,85534;6,13570;9,86970
59,13195;0,88012;0,49640;9,79806
56,11473;-0,13212;1,99534;12,21207
58,39503;0,98147;0,49424;11,72756
62,82857;0,28152;4,48266;11,55172
64,09460;4,27203;0,02255;12,08134
71,26105;3,89886;0,07259;6,30167
68,95854;1,57565;1,03920;7,28573
61,48357;1,00091;2,45824;12,35710
76,28771;-0,21650;8,23376;12,99100
66,50651;3,11447;0,11284;8,85514
61,13147;4,26388;2,84771;7,33850
79,77639;3,78408;1,16588;6,85188
54,53208;4,79650;0,01038;10,03946
68,94922;-2,06925;0,00000;16,16507
38,31717;2,71697;0,02083;8,80893
37,56920;6,07552;0,00215;4,41698
48,94417;6,83459;0,06724;5,08739
40,41293;8,74755;0,08840;6,60328
38,90038;10,95129;0,18422;9,49072
38,09638;13,89196;3,70985;13,60374
63,06165;11,40939;0,82376;11,53573
60,80349;11,69116;1,55890;9,46555
46,78013;10,07519;15,21252;13,30673
65,36806;9,17224;8,61657;15,43101
48,76574;7,05251;1,11218;8,30185
66,18205;5,54382;0,48696;11,00824
60,22757;4,70464;0,03261;12,13849
71,27071;3,96096;0,05296;11,77022
42,93043;6,89605;0,29814;9,21354
50,84595;10,29913;0,09607;9,26104
38,98906;12,28100;0,01760;8,13847
28,83818;16,02014;0,09496;8,51192
48,27692;12,48046;0,10698;12,22588
56,58730;11,45507;0,28400;6,74593
63,37260;13,26769;5,81805;9,76227
59,42145;11,01162;3,05166;6,81104
54,15907;11,44531;0,05300;5,62108
48,82848;12,87591;0,02710;6,37767
34,70188;13,67394;0,34247;7,02984
44,74571;14,03643;0,01469;8,10045
44,49833;14,45541;0,11433;6,90613
43,66906;16,53436;0,88278;6,12765
58,70121;11,91311;0,95559;11,51022
44,26484;12,78958;0,02547;11,06595
52,77633;16,98901;0,03533;9,39720
50,02512;15,90148;0,05413;8,73610
39,44096;16,28588;0,02936;11,12710
35,63747;13,72640;0,03609;11,19396
36,20884;13,24600;0,07220;12,33394
42,38606;16,27780;4,07871;9,61593
63,79642;8,23486;8,59646;10,65880
55,92242;8,57134;0,38435;8,26929
54,81353;8,41937;0,34276;8,86690
57,71285;9,44732;0,24011;9,28348
49,99511;13,28875;0,05596;11,72070
40,15067;13,03427;0,10284;10,98886
45,60118;14,12396;0,06974;8,10530
45,28086;15,29864;0,06981;6,98657
38,39945;17,83645;0,04336;5,90943
38,63515;17,54382;0,04261;5,49091
40,24823;17,40420;0,11018;6,08952
40,02447;14,32852;0,51811;7,19149
44,93227;17,13650;0,28667;6,36819
47,04351;14,40707;1,21723;8,10128
49,01984;15,74652;0,83084;9,00689
57,61455;12,98413;0,19850;9,08111
55,74943;13,86706;2,52501;5,22257
45,93092;15,21835;3,25654;5,76045
48,96941;14,95123;6,40651;6,30864
52,22093;15,99813;1,48163;7,08943
49,03617;15,10891;3,05133;7,46575
64,65274;11,52874;0,13021;10,26626
46,39462;12,06655;0,00303;11,45358
35,25786;14,29034;0,00313;6,69328
35,30928;17,75051;0,00338;7,22036
45,18684;15,37512;1,34128;8,88676
54,90051;14,00619;1,33061;14,53755
48,77645;16,20846;0,30870;11,61722
43,44018;17,10214;0,83307;10,17312
38,22671;19,09811;0,01704;9,10644
54,89463;17,66015;0,57708;7,65357
43,59955;20,63128;0,10102;6,79854
47,49290;19,51647;8,34485;12,05288
55,22595;11,64385;8,14864;10,10725
53,01926;14,45523;1,05231;10,92277
61,45421;16,42678;0,91504;8,23927
44,91870;19,64123;1,80087;7,58918
44,67857;20,72167;2,57794;5,48960
45,73503;20,97933;9,98090;5,28683
52,37929;20,43991;5,55303;5,16195
47,55572;20,56960;5,07191;8,47266
51,83149;20,85000;7,08640;6,59956
46,46169;21,54528;4,65872;9,08364
50,42163;20,77813;0,03880;7,96183
45,67212;23,11022;1,97956;6,63044
52,41198;19,59072;7,49066;8,19608
56,69144;18,37332;1,37848;8,27567
48,59478;21,93923;0,64795;6,80037
48,35031;21,32946;5,74065;6,07343
48,33536;21,23113;8,60933;6,44243
65,25949;18,59252;6,54204;8,51830
62,23448;20,40347;1,51783;8,25246
48,14996;22,07720;7,71286;6,85540
51,14675;22,55889;3,98059;5,08469
48,84981;22,54778;1,87053;7,64367
53,05271;23,05306;1,42953;11,35731
51,42304;21,75900;21,44127;10,66462
52,72281;18,47906;7,46866;7,70342
54,34730;18,53997;0,05076;9,61391
38,43123;18,52206;0,14874;7,06917
48,64727;19,48907;0,03470;7,08283
41,31471;20,53387;0,62212;7,01242
42,83178;20,22598;3,46792;7,12258
44,23331;21,48211;1,21690;6,97380
44,96248;22,46841;0,83757;5,41052
43,09473;23,91128;0,12154;5,91879
53,00924;24,11950;0,40331;10,01875
54,54069;20,91296;1,63051;10,58619
40,99095;19,79373;0,00440;7,91276
38,97195;24,15814;0,00520;6,10474
37,40388;26,65350;0,00851;5,86179
41,79075;26,44583;0,01852;6,57466
46,98697;23,62564;3,14349;8,63582
41,71252;19,57534;0,02406;13,29871
47,58819;20,24941;0,00827;10,16660
41,04778;19,54251;0,00145;10,82063
39,21515;21,02346;0,22213;12,32650
51,88791;21,15176;0,93152;9,75927
45,07911;23,46099;10,52303;8,20920
51,84730;19,91644;2,68948;9,20858
53,51521;16,86346;5,39527;6,95280
38,02577;19,51614;0,14344;5,34098
50,24120;22,41656;0,10329;6,41288
54,33185;21,69088;7,07239;6,81489
49,07266;21,77868;0,18143;5,97677
39,69550;26,22097;0,01926;5,42887
38,65947;27,36248;0,11694;6,29776
36,12492;28,59222;0,00161;5,87815
35,46406;29,07604;0,07580;5,16219
38,72819;28,60333;2,92786;6,06156
42,60342;27,41976;0,77463;7,29367
38,22296;27,66555;0,00102;6,59890
37,42264;30,68743;0,01118;8,03751
45,82717;27,34234;0,00482;8,94392
47,49214;24,61212;0,53217;6,27630
37,34624;25,77026;0,18678;7,02869
40,42406;26,59616;0,11422;7,99335
38,72179;26,87066;0,45575;10,15510
50,01225;19,56735;13,73821;11,87391
45,56662;20,72024;0,34346;8,98906
48,94694;20,78756;1,13872;7,21722
66,38348;19,87148;21,42844;8,66657
46,49904;19,67776;16,56796;8,15974
54,79311;16,60214;3,13888;8,06638
55,25253;19,14312;5,15843;4,44583
46,84046;20,70663;1,46332;6,31313
53,16375;21,77725;9,61556;8,27553
52,11451;18,56256;16,41530;7,81803
50,71050;20,07714;0,99825;6,86310
53,62196;20,88067;2,48552;5,41522
54,51215;20,69546;0,33062;6,79349
49,10075;21,53543;0,01263;6,66295
46,85677;24,45223;0,02104;5,75999
51,46892;23,52828;14,97184;5,56188
53,46346;22,21041;0,05764;6,06629
48,13437;24,92785;0,00922;5,83653
47,99146;25,88134;0,12277;9,45435
47,08940;26,70910;0,26438;12,45430
54,42781;21,29647;0,43150;8,96088
50,78346;18,66470;0,20086;12,99929
38,04442;22,53158;0,00440;7,51064
42,52937;23,32754;0,00261;5,51501
42,92200;24,39654;0,03276;5,13834
45,46615;23,73605;0,09120;5,34558
43,79876;26,30325;1,17689;4,82149
44,68697;23,48220;0,33134;7,42842
45,86440;25,36581;0,00107;6,95559
38,14584;27,14617;0,00062;6,43119
35,31401;29,07385;0,00637;5,66158
43,22335;27,56732;0,03638;7,54534
43,44142;26,76962;0,00025;6,72274
36,60626;29,02285;0,00018;7,13774
36,81166;29,25503;0,00198;7,01397
36,73143;29,83438;3,36466;4,97006
29,35355;30,71844;0,00435;4,83610
31,95485;30,54244;0,05627;6,96476
30,65336;29,56140;0,08966;8,62392
48,06079;25,60125;0,04692;8,93746
38,51035;26,37799;0,00610;5,74541
42,52303;24,39971;0,11363;5,05293
45,73854;23,52300;0,02119;4,88080
37,78400;24,85372;0,21845;5,10953
44,47788;24,60433;2,97918;5,63772
40,55430;25,27999;1,73874;5,81924
40,00652;26,74084;0,01089;6,90035
49,35202;23,98315;2,20819;9,33612
53,95566;21,15145;0,14135;8,20882
41,84784;23,57040;0,16614;5,60114
46,24713;23,17681;0,45309;5,21811
45,97170;23,00115;0,03036;6,20319
37,21883;26,29656;0,00859;6,09258
38,49279;27,23770;0,00494;6,20084
38,70409;25,75927;0,38772;6,67973
40,33084;25,94934;0,00111;6,19572
35,14509;26,66009;0,00572;5,07642
49,11664;23,80419;0,02958;6,64973
42,48381;24,52026;0,00074;6,46412
36,89433;25,47274;0,00601;5,87476
39,04735;24,37808;0,02899;10,44086
52,45133;20,99130;22,68516;15,06475
54,68819;14,07720;6,76129;9,35707
67,39572;17,95315;0,52579;11,39763
49,79671;20,27368;0,00636;6,66026
47,16381;20,31442;0,04311;6,80389
46,56943;19,73055;0,00403;6,17494
49,46773;20,82137;0,06067;5,91723
50,97528;19,87820;0,61529;5,62584
45,38305;20,96075;0,00100;8,20589
44,21041;20,21652;0,00026;9,03093
45,98541;18,70288;0,08502;8,35292
51,10490;19,77813;0,00407;7,77238
49,10158;19,31503;0,00105;5,78216
44,66635;19,64550;0,00119;7,17283
46,68840;19,81170;0,00226;4,85674
47,79236;19,77108;0,00042;4,66050
45,75351;20,15130;4,28595;4,83445
46,51664;20,21774;0,00587;6,34270
49,04242;16,99117;34,34001;14,84519
59,21103;10,87380;1,50269;7,96119
55,10486;9,00653;0,24630;13,43062
62,14600;11,52154;0,03216;10,20658
69,57916;16,10467;0,05561;7,28762
47,14402;17,77618;0,46378;6,30278
61,69806;13,74194;5,05258;8,79462
42,16468;11,70529;0,00203;11,12650
44,29691;10,89999;0,00000;11,89745
41,88733;9,20855;0,03522;10,50212
46,29633;8,77850;0,00000;7,42986
42,03336;13,40139;0,00000;6,37062
56,40245;14,29305;0,00259;11,58663
67,99210;12,71328;6,23209;10,52090
66,00775;10,35125;10,41130;8,42746
57,30840;10,67831;0,20035;6,51119
69,08861;9,11459;0,42992;4,10022
59,02195;10,67294;0,44619;4,83058
66,79749;13,16928;0,23439;8,88682
57,28173;13,27902;5,06419;8,52478
68,28615;11,53689;19,99354;6,69057
67,48742;12,37448;0,00355;4,65577
58,37595;13,20477;0,00051;6,10947
58,62551;11,92205;0,00754;4,33718
55,91774;11,66436;0,01609;3,50658
53,51498;11,99386;0,00220;3,92256
57,85874;10,85775;4,45187;4,90585
51,77894;11,99026;0,00124;5,65665
49,90282;12,52065;0,09216;9,08794
54,48586;13,12246;0,31916;9,43086
65,81938;12,27975;8,42538;9,40989
60,02786;11,40643;11,33124;8,89909
60,33786;10,37457;3,24739;7,05929
64,49715;11,93649;1,14576;4,13289
75,58777;8,71465;0,01244;5,74980
68,80373;7,35192;0,00023;9,53761
56,91283;6,42431;0,00000;10,70464
65,23954;5,29836;0,00000;8,20165
58,64582;5,93978;0,32504;7,63362
52,04705;7,68716;0,67078;7,05298
50,64671;7,42056;0,09159;6,47158
55,64545;6,23733;0,00000;5,73373
54,23395;6,82064;0,00000;4,20048
44,74878;7,41030;0,00000;3,24427
46,28305;4,78036;0,00000;3,48224
47,79797;6,81564;0,03004;4,80142
73,39172;5,01125;0,57929;5,70766
60,38681;5,44741;9,20894;7,97273
70,78259;4,63943;2,68048;8,86091
68,16608;6,36602;1,57681;6,73977
59,10087;6,42413;0,00186;6,69917
67,10623;6,95641;0,00040;6,05435
59,26177;8,23696;0,09451;7,10034
60,30487;7,16540;0,00080;5,38263
57,52036;8,24822;2,65047;3,70080
58,07928;8,15924;0,00000;4,82282
65,82008;9,11096;0,00000;9,25258
62,89802;8,00503;0,44572;11,67001
56,01312;7,62469;0,98130;11,97700
72,62331;4,64782;38,53036;15,90520
65,57793;2,77783;8,34503;6,78027
54,58582;4,39819;1,73554;8,10026
54,88821;4,64977;3,14239;9,57282
53,33628;7,83260;5,34747;11,09226
61,37697;6,65649;3,89921;11,43115
58,05684;8,40127;1,31359;7,59151
65,29651;5,12856;8,59468;10,48252
60,34361;6,00659;16,63254;8,53793
72,74654;5,84875;1,69182;11,92899
52,44764;5,79546;17,78480;12,08551
53,16248;6,36447;7,26947;16,18701
68,05322;-0,43079;17,84718;14,81099
62,40910;1,74273;6,67570;6,63236
70,40592;-0,41355;16,72378;9,44785
72,76441;-0,07578;1,12298;8,20242
64,90434;0,72396;0,01294;5,76161
59,68440;2,65399;0,27222;12,10715
65,32081;3,80474;0,01648;9,14569
62,60012;7,44552;2,89579;6,64378
62,44938;2,38702;5,03747;11,21683
70,69729;2,82879;0,00169;7,74919
70,75142;3,37676;0,00000;5,87029
77,40863;4,91351;0,00119;5,19850
60,58627;1,39361;0,46466;5,48553
64,43304;-0,52543;19,92931;7,06843
67,52977;-1,64838;0,91152;8,65966
73,36436;3,40359;0,01639;6,55016
64,05732;6,79742;0,38775;10,25211
69,61188;4,07385;0,02474;6,36904
55,12749;4,79641;3,44687;9,13509
37,86495;10,93249;5,26705;10,50273
43,71165;-0,55280;4,94555;17,89390
57,03935;1,02261;0,89808;14,17340
63,21545;0,57537;1,63018;8,55060
65,63136;-1,22654;0,17686;9,67608
61,72559;0,33959;0,48481;9,49573
59,06444;2,27090;0,00077;9,32275
66,64434;2,56252;0,09739;8,01244
68,32758;1,11071;0,19585;7,86093
61,96491;0,26891;0,00723;9,00991
71,53947;-3,70933;0,00000;9,10830
72,77601;-4,31327;0,00052;7,51356
66,82548;-2,97303;0,03798;7,30948
74,08222;-2,72523;0,04300;6,78214
62,08655;4,60726;3,39403;11,62953
71,18423;2,48187;10,96435;12,45627
75,63182;-1,13050;1,10324;7,99746
78,15477;3,96395;0,96961;10,84232
59,76736;5,16189;1,45493;7,21221
57,20180;2,11971;5,29260;9,36674
55,34674;0,61227;4,66052;16,59671
75,19592;-0,99033;0,15177;11,97200
62,12508;0,65350;0,00000;6,36158
70,42626;2,16656;0,00855;6,19850
64,06146;-1,25449;3,25543;9,78594
66,06293;-3,10636;0,37676;11,40456
61,95418;-4,80659;0,65860;10,26174
68,31045;-4,47718;2,64492;12,33069
76,34315;-4,66614;2,76764;13,37283
72,00396;-0,75434;13,05379;13,63668
72,35453;-0,44425;6,92327;12,09192
74,46951;-2,49314;4,95962;8,81677
56,91632;-1,27698;5,88584;14,68453
63,34718;-0,76273;9,84817;16,55831
58,29308;-4,21738;3,22942;15,05303
58,72818;-2,84052;7,50626;9,26129
65,38817;-5,61295;7,78695;12,89364
66,10868;-2,01176;2,80150;11,39823
72,17830;-2,63462;3,91043;9,44729
68,26846;-2,28019;1,94418;7,20005
58,61431;-2,57868;0,00494;6,11217
51,57978;1,13040;4,11145;10,18642
71,43539;-2,77656;4,31892;12,71650
72,24647;1,85372;1,63271;8,27105
60,71042;4,14398;0,00192;6,50846
63,95221;3,55724;0,15725;9,35785
68,82441;3,56698;5,32352;7,81271
82,70351;2,84295;0,17170;6,47970
71,77782;6,03311;0,27776;8,77378
64,18063;6,40673;0,37412;6,23113
63,47571;11,24792;0,49280;7,47509
62,71033;10,88958;0,05666;7,24549
74,35714;0,02081;3,65718;9,79656
51,29998;0,36511;0,05198;13,17949
55,27000;3,13372;0,26805;7,47443
58,27820;8,82223;0,16279;11,19738
50,06592;8,81927;0,13798;7,69530
52,82582;12,56652;0,13002;6,80682
52,31100;10,01303;0,09184;6,71430
34,44878;9,50207;0,22202;5,93296
44,44559;6,05224;0,05384;7,30188
42,80631;4,63796;0,02161;8,43141
36,17268;4,33132;0,61728;8,77481
35,34756;6,74612;0,12549;7,20672
57,84883;6,11581;0,12865;9,36047
48,37554;6,99554;1,83283;10,47755
49,84497;8,92840;0,59517;12,23528
51,67505;4,43163;0,01805;13,97389
52,24136;8,17364;0,03341;10,04814
54,25467;11,32122;0,02983;8,69744
48,36677;9,59435;0,01956;8,31288
34,30275;13,25738;0,02473;6,24102
36,18588;14,63485;0,01980;10,76959
38,86976;16,00207;0,27223;11,72565
51,36076;13,53906;0,41383;9,72635
47,02818;13,73693;0,44682;5,43931
43,03479;14,75433;0,25884;5,55087
38,82293;15,19988;0,39815;5,09871
34,34351;15,52612;0,67959;4,40857
41,33010;14,40057;1,04464;4,77299
49,11297;12,91689;0,68825;8,87873
41,50106;11,14086;0,02532;11,94178
32,64983;11,67480;0,22382;8,62838
45,71247;12,35769;0,07067;10,28378
38,70444;13,71102;3,82340;9,82666
57,58139;10,64004;0,29949;6,54970
47,46333;13,57861;0,14553;10,38709
46,88197;6,12765;0,95475;10,43891
35,88905;12,30065;0,05990;7,09256
46,92429;12,97061;0,47322;12,08468
55,54837;14,49981;0,55040;10,59583
45,38821;16,42654;7,28990;8,45289
59,48413;11,98657;1,70888;6,66765
54,68993;12,51147;6,40486;8,68038
59,31071;7,58624;2,66575;12,19781
47,71949;5,53106;0,22859;11,40731
41,03000;10,16751;0,02406;6,46400
53,66769;11,63125;1,35347;12,13693
52,55520;10,56988;0,08924;11,08302
51,31251;10,70867;2,88614;7,15607
86,06004;7,47775;2,10264;7,09050
77,06410;8,60986;1,91913;6,82044
67,00227;9,77157;9,01760;9,60903
61,39172;7,37499;1,88174;10,26181
64,86995;7,95843;0,06631;6,48842
53,10633;10,75891;1,20709;9,93862
58,01731;10,45693;4,41160;10,64417
58,47704;11,35446;0,57183;10,85992
60,04241;12,15960;2,83216;13,83268
58,47069;12,24557;15,85205;10,49367
44,20192;16,19143;3,18325;15,74667
62,28278;11,32199;8,10520;8,76894
40,75690;17,80117;0,03887;8,67967
36,97226;21,45938;0,00178;6,95384
39,19110;21,86544;0,00116;8,16863
38,74811;21,06237;0,00064;6,85717
33,24590;21,27377;0,30523;4,91160
36,43501;21,75485;0,77551;5,04431
37,71104;21,84542;5,92301;5,38785
44,11432;19,99020;6,75049;5,32614
44,12684;18,00445;0,16316;6,32931
40,22736;17,94818;0,01963;10,07523
42,77099;17,55569;1,10109;8,65963
57,15338;14,10485;14,72031;10,13454
53,53782;15,28201;0,00282;6,83460
44,76555;17,77169;0,00175;6,59365
41,70847;18,56832;3,28704;7,11235
44,36209;21,80728;0,00000;7,40023
39,71143;22,41476;0,20470;7,50069
70,10400;15,24825;19,76008;12,11567
64,62862;12,94869;7,63482;9,72950
68,25798;12,51391;0,40918;7,37819
54,07216;14,44470;6,65768;7,00895
53,70809;12,15765;5,26265;16,44058
49,79228;14,38854;0,00435;7,43113
48,43923;17,79070;0,00874;6,00834
43,46290;20,64279;0,56863;5,30910
51,13517;19,89340;11,90759;12,05242
66,97924;12,61251;11,70100;7,69736
69,53336;16,88909;3,13408;6,09096
61,02383;18,37927;22,95088;10,66817
58,22418;16,91201;9,35195;9,53480
50,63961;15,96679;3,75703;6,22351
49,02096;16,18362;0,36912;7,32957
47,75205;15,74356;0,74865;5,91817
50,16606;15,26074;8,81630;5,94820
46,23973;19,86724;0,81237;6,82433
49,00697;19,85714;9,94931;4,60059
52,68051;19,00906;3,85422;7,74485
59,84199;20,06292;0,15301;6,65274
44,72827;23,45867;8,42208;10,85659
43,28884;21,68667;2,22527;11,22413
63,40408;16,90737;5,01643;8,81282
41,20259;18,74331;0,08418;6,33444
48,42138;22,80844;0,01407;6,40160
44,76509;25,39147;0,04396;8,60729
40,93835;24,92388;1,20324;9,63820
44,87450;22,28506;4,27549;9,36058
52,44265;20,78942;1,58811;10,10206
52,36915;22,03536;4,53043;13,49093
45,20630;20,24822;3,51477;8,59009
44,92264;19,60720;0,02166;5,26029
40,60773;23,07763;0,00040;6,00586
39,52020;25,10433;0,00000;6,88093
38,64196;27,14001;0,00000;6,71474
45,27372;26,55953;0,17219;5,99265
43,75875;26,99533;0,31407;6,05801
41,64632;27,15011;0,28903;5,21852
38,29334;28,83377;0,37163;5,92270
53,14387;25,35354;0,37782;7,60102
